YEAR,MONTH,TRACT,TYPE,CONSUMPTION,CONNECTIONS
2000,1,100100,Apartment,91,4
2000,1,100100,Business,1153,44
2000,1,100100,Duplex,20,1
2000,1,100100,Hotel or Motel,280,2
2000,1,100100,Industry,108038,20
2000,1,100100,Miscellaneous,0,5
2000,1,100100,Parks & Municipals,0,3
2000,1,100100,School or Church or Charity,818,12
2000,1,100100,Single Residence,165,13
2000,1,100100,Triplex,19,1
2000,1,100200,Business,23322,16
2000,1,100200,Industry,1677,7
2000,1,100200,Parks & Municipals,774,7
2000,1,100200,Single Residence,132,9
2000,1,100306,Apartment,3180,14
2000,1,100306,Business,939,23
2000,1,100306,Duplex,10,1
2000,1,100306,Fourplex,6,1
2000,1,100306,Hotel or Motel,820,3
2000,1,100306,Parks & Municipals,0,2
2000,1,100306,School or Church or Charity,182,1
2000,1,100306,Single Residence,94,9
2000,1,100307,Apartment,180,7
2000,1,100307,Parks & Municipals,0,4
2000,1,100307,School or Church or Charity,21,5
2000,1,100307,Single Residence,120,17
2000,1,100308,Apartment,3492,27
2000,1,100308,Business,660,6
2000,1,100308,Parks & Municipals,1356,9
2000,1,100308,Single Residence,231,14
2000,1,100500,Apartment,6557,23
2000,1,100500,Business,148,2
2000,1,100500,Duplex,11,1
2000,1,100500,Fourplex,62,2
2000,1,100500,Miscellaneous,2,2
2000,1,100500,Parks & Municipals,210,9
2000,1,100500,School or Church or Charity,213,2
2000,1,100500,Single Residence,136,18
2000,1,100600,Apartment,1139,10
2000,1,100600,Business,5484,45
2000,1,100600,Duplex,15,1
2000,1,100600,Fourplex,19,1
2000,1,100600,Hotel or Motel,281,1
2000,1,100600,Miscellaneous,-128,6
2000,1,100600,Parks & Municipals,52,9
2000,1,100600,School or Church or Charity,56,3
2000,1,100600,Single Residence,225,26
2000,1,100700,Apartment,1046,10
2000,1,100700,Business,17,1
2000,1,100700,Duplex,15,2
2000,1,100700,Fourplex,41,2
2000,1,100700,Parks & Municipals,1222,18
2000,1,100700,School or Church or Charity,34,2
2000,1,100700,Single Residence,28,2
2000,1,100800,Apartment,5039,21
2000,1,100800,Business,4334,29
2000,1,100800,Fourplex,9,1
2000,1,100800,Hotel or Motel,1740,5
2000,1,100800,Miscellaneous,0,2
2000,1,100800,Parks & Municipals,102,11
2000,1,100800,School or Church or Charity,4462,29
2000,1,100800,Single Residence,19,4
2000,1,100800,Triplex,59,2
2000,1,101000,Apartment,99,6
2000,1,101000,Business,499,4
2000,1,101000,Duplex,3,1
2000,1,101000,Fourplex,16,2
2000,1,101000,Hospital,3144,2
2000,1,101000,Miscellaneous,495,2
2000,1,101000,Parks & Municipals,165,1
2000,1,101000,School or Church or Charity,6601,8
2000,1,101000,Single Residence,108,12
2000,1,101101,Apartment,713,9
2000,1,101101,Business,81,2
2000,1,101101,Miscellaneous,0,2
2000,1,101101,Parks & Municipals,0,1
2000,1,101101,Restaurant,67,1
2000,1,101101,School or Church or Charity,696,1
2000,1,101101,Single Residence,0,1
2000,1,101102,Apartment,7999,31
2000,1,101102,Business,232,3
2000,1,101102,Duplex,116,1
2000,1,101102,Miscellaneous,0,1
2000,1,101102,Parks & Municipals,192,6
2000,1,101102,School or Church or Charity,73,3
2000,1,101102,Single Residence,14,3
2000,1,101102,Triplex,26,1
2000,1,101200,Apartment,2064,12
2000,1,101200,Business,250,3
2000,1,101200,Duplex,8,1
2000,1,101200,Miscellaneous,0,2
2000,1,101200,Parks & Municipals,99,27
2000,1,101200,School or Church or Charity,53,1
2000,1,101200,Single Residence,86,6
